chapter_name,sentence_number,token_number,word,lemma,part-of-speech,syntax,cue,scope,event,pred,error_type,error_category
wisteria02,164_2,6,",",",",",",*,_,_,_,_,_,Repeat_OOS
wisteria02,164_2,7,Mr.,Mr.,NNP,(NP*,_,_,_,_,_,Repeat_OOS
wisteria02,164_2,8,Holmes,Holmes,NNP,*),_,_,_,_,_,Repeat_OOS
wisteria02,164_2,9,;,;,:,*,_,_,_,_,_,Repeat_OOS
wisteria02,164_2,10,I,I,PRP,(NP*),_,I,_,I,_,Repeat_OOS
wisteria02,164_2,11,did,do,VBD,(VP*,_,did,_,did,_,Repeat_OOS
wisteria02,164_2,12,n't,n't,RB,*,n't,_,_,_,_,Repeat_OOS
wisteria02,164_2,13,say,say,VB,(VP*,_,say,say,say,_,Repeat_OOS
wisteria02,164_2,14,so,so,RB,(ADVP*))))))),_,so,_,so,_,Repeat_OOS
wisteria02,164_2,15,.,.,.,*),_,_,_,_,_,Repeat_OOS
cardboard,108_1,0,``,``,``,(SBARQ*,_,_,_,_,_,SC_not_MC
cardboard,108_1,1,What,What,WP,(WHNP*),_,_,_,_,_,SC_not_MC
cardboard,108_1,2,is,be,VBZ,(SQ(VP*,_,_,_,is,FP,SC_not_MC
cardboard,108_1,3,the,the,DT,(NP(NP*,_,_,_,the,FP,SC_not_MC
cardboard,108_1,4,use,use,NN,*),_,_,_,use,FP,SC_not_MC
cardboard,108_1,5,of,of,IN,(PP*,_,_,_,of,FP,SC_not_MC
cardboard,108_1,6,asking,ask,VBG,(S(VP*,_,_,_,asking,FP,SC_not_MC
cardboard,108_1,7,me,me,PRP,(NP*),_,_,_,me,FP,SC_not_MC
cardboard,108_1,8,questions,question,NNS,(NP*),_,_,_,questions,FP,SC_not_MC
cardboard,108_1,9,when,when,WRB,(SBAR(WHADVP*),_,_,_,when,FP,SC_not_MC
cardboard,108_1,10,I,I,PRP,(S(NP*),_,_,_,I,FP,SC_not_MC
cardboard,108_1,11,tell,tell,VBP,(VP*,_,_,_,tell,FP,SC_not_MC
cardboard,108_1,12,you,you,PRP,(NP*),_,_,_,you,FP,SC_not_MC
cardboard,108_1,13,I,I,PRP,(SBAR(S(NP*),_,I,_,I,_,SC_not_MC
cardboard,108_1,14,know,know,VBP,(VP*,_,know,know,know,_,SC_not_MC
cardboard,108_1,15,nothing,nothing,NN,(NP*),nothing,_,_,_,_,SC_not_MC
cardboard,108_1,16,whatever,whatever,WDT,(NP*),_,whatever,_,whatever,_,SC_not_MC
cardboard,108_1,17,about,about,IN,(PP*,_,about,_,about,_,SC_not_MC
cardboard,108_1,18,it,it,PRP,(NP*)))))))))))))),_,it,_,it,_,SC_not_MC
cardboard,108_1,19,?,?,.,*,_,_,_,_,_,SC_not_MC
cardboard,108_1,20,'','','',*),_,_,_,_,_,SC_not_MC
cardboard,225_1,0,``,``,``,(S*,_,_,_,_,_,Sub_CL_only
cardboard,225_1,1,I,I,PRP,(NP*),_,_,_,_,_,Sub_CL_only
cardboard,225_1,2,wonder,wonder,VBP,(VP*,_,_,_,_,_,Sub_CL_only
cardboard,225_1,3,",",",",",",*,_,_,_,_,_,Sub_CL_only
cardboard,225_1,4,since,since,IN,(SBAR*,_,_,_,_,_,Sub_CL_only
cardboard,225_1,5,you,you,PRP,(S(NP*),_,_,_,you,FP,Sub_CL_only
cardboard,225_1,6,are,be,VBP,(VP*,_,_,_,are,FP,Sub_CL_only
cardboard,225_1,7,both,both,DT,(NP*,_,_,_,both,FP,Sub_CL_only
cardboard,225_1,8,maiden,maiden,JJ,*,_,_,_,maiden,FP,Sub_CL_only
cardboard,225_1,9,ladies,lady,NNS,*),_,_,_,ladies,FP,Sub_CL_only
cardboard,225_1,10,",",",",",",*,_,_,_,_,_,Sub_CL_only
cardboard,225_1,11,that,that,IN,(SBAR*,_,_,_,_,_,Sub_CL_only
cardboard,225_1,12,you,you,PRP,(S(NP*),_,you,_,you,_,Sub_CL_only
cardboard,225_1,13,do,do,VBP,(VP*,_,do,_,do,_,Sub_CL_only
cardboard,225_1,14,not,not,RB,*,not,_,_,_,_,Sub_CL_only
cardboard,225_1,15,keep,keep,VB,(VP*,_,keep,_,keep,_,Sub_CL_only
cardboard,225_1,16,house,house,NN,(NP*),_,house,_,house,_,Sub_CL_only
cardboard,225_1,17,together,together,RB,(ADVP*))))))))),_,together,_,together,_,Sub_CL_only
cardboard,225_1,18,.,.,.,*,_,_,_,_,_,Sub_CL_only
cardboard,225_1,19,'','','',*),_,_,_,_,_,Sub_CL_only
wisteria02,144_1,0,Pray,Pray,NNP,(S(NP*),_,_,_,Pray,FP,Int_NIS
wisteria02,144_1,1,do,do,VBP,(VP*,_,do,_,do,_,Int_NIS
wisteria02,144_1,2,n't,n't,RB,*,n't,_,_,_,_,Int_NIS
wisteria02,144_1,3,think,think,VB,(VP*,_,think,_,think,_,Int_NIS
wisteria02,144_1,4,it,it,PRP,(NP*),_,it,_,it,_,Int_NIS
wisteria02,144_1,5,a,a,DT,(NP*,_,a,_,a,_,Int_NIS
wisteria02,144_1,6,liberty,liberty,NN,*),_,liberty,_,liberty,_,Int_NIS
wisteria02,144_1,7,if,if,IN,(SBAR*,_,if,_,if,_,Int_NIS
wisteria02,144_1,8,I,I,PRP,(S(NP*),_,I,_,I,_,Int_NIS
wisteria02,144_1,9,give,give,VBP,(VP*,_,give,_,give,_,Int_NIS
wisteria02,144_1,10,you,you,PRP,(NP*),_,you,_,you,_,Int_NIS
wisteria02,144_1,11,a,a,DT,(NP(NP*,_,a,_,a,_,Int_NIS
wisteria02,144_1,12,word,word,NN,*),_,word,_,word,_,Int_NIS
wisteria02,144_1,13,of,of,IN,(PP*,_,of,_,of,_,Int_NIS
wisteria02,144_1,14,friendly,friendly,JJ,(NP*,_,friendly,_,friendly,_,Int_NIS
wisteria02,144_1,15,warning,warning,NN,*)))))))),_,warning,_,warning,_,Int_NIS
wisteria02,144_1,16,.,.,.,*,_,_,_,_,_,Int_NIS
wisteria02,144_1,17,'','','',*),_,_,_,_,_,Int_NIS
cardboard,23_1,0,On,On,IN,(S(PP*,_,_,_,_,_,Aff_skipped + No_pattern
cardboard,23_1,1,my,my,PRP$,(NP*,_,_,_,_,_,Aff_skipped + No_pattern
cardboard,23_1,2,remarking,remark,NN,*,_,_,_,_,_,Aff_skipped + No_pattern
cardboard,23_1,3,that,that,IN,(SBAR*,_,_,_,_,_,Aff_skipped + No_pattern
cardboard,23_1,4,I,I,PRP,(S(NP*),_,_,_,_,_,Aff_skipped + No_pattern
cardboard,23_1,5,was,be,VBD,(VP*,_,_,_,_,_,Aff_skipped + No_pattern
cardboard,23_1,6,constantly,constantly,RB,(ADVP*),_,_,_,_,_,Aff_skipped + No_pattern
cardboard,23_1,7,in,in,IN,(PP*,_,_,_,_,_,Aff_skipped + No_pattern
cardboard,23_1,8,the,the,DT,(NP(NP*,_,_,_,_,_,Aff_skipped + No_pattern
cardboard,23_1,9,habit,habit,NN,*),_,_,_,_,_,Aff_skipped + No_pattern
cardboard,23_1,10,of,of,IN,(PP*,_,_,_,_,_,Aff_skipped + No_pattern
cardboard,23_1,11,doing,do,VBG,(S(VP*,_,_,_,_,_,Aff_skipped + No_pattern
cardboard,23_1,12,the,the,DT,(NP*,_,_,_,_,_,Aff_skipped + No_pattern
cardboard,23_1,13,same,same,JJ,*,_,_,_,_,_,Aff_skipped + No_pattern
cardboard,23_1,14,thing,thing,NN,*))))))))))),_,_,_,thing,FP,Aff_skipped + No_pattern
cardboard,23_1,15,you,you,PRP,(NP*),_,you,_,you,_,Aff_skipped + No_pattern
cardboard,23_1,16,expressed,express,VBD,(VP*,_,expressed,expressed,expressed,_,Aff_skipped + No_pattern
cardboard,23_1,17,incredulity,incredulity,NN,(NP*)),in,credulity,_,_,FN,Aff_skipped + No_pattern
cardboard,23_1,18,.,.,.,*,_,_,_,_,_,Aff_skipped + No_pattern
cardboard,23_1,19,'','','',*),_,_,_,_,_,Aff_skipped + No_pattern
cardboard,394_1,0,But,But,CC,(S*,_,_,_,_,_,MC_not_SC
cardboard,394_1,1,when,when,WRB,(SBAR(WHADVP*),_,_,_,_,_,MC_not_SC
cardboard,394_1,2,little,little,JJ,(S(NP*,_,_,_,little,FP,MC_not_SC
cardboard,394_1,3,Mary,Mary,NNP,*),_,_,_,Mary,FP,MC_not_SC
cardboard,394_1,4,was,be,VBD,(VP*,_,_,_,was,FP,MC_not_SC
cardboard,394_1,5,there,there,RB,(ADVP*)))),_,_,_,there,FP,MC_not_SC
cardboard,394_1,6,I,I,PRP,(NP*),_,I,_,I,_,MC_not_SC
cardboard,394_1,7,had,have,VBD,(VP*,_,had,had,had,_,MC_not_SC
cardboard,394_1,8,never,never,RB,(ADVP*),never,_,_,_,_,MC_not_SC
cardboard,394_1,9,a,a,DT,(NP(NP*,_,a,_,a,_,MC_not_SC
cardboard,394_1,10,thought,thought,NN,*),_,thought,_,thought,_,MC_not_SC
cardboard,394_1,11,of,of,IN,(PP*,_,of,_,of,_,MC_not_SC
cardboard,394_1,12,her,her,PRP,(NP*))),_,her,_,her,_,MC_not_SC
cardboard,394_1,13,",",",",",",*,_,_,_,_,_,MC_not_SC
cardboard,394_1,14,and,and,CC,*,_,_,_,_,_,MC_not_SC
cardboard,394_1,15,that,that,IN,(SBAR*,_,_,_,_,_,MC_not_SC
cardboard,394_1,16,I,I,PRP,(S(NP*),_,_,_,_,_,MC_not_SC
cardboard,394_1,17,swear,swear,VBP,(VP*,_,_,_,_,_,MC_not_SC
cardboard,394_1,18,as,as,IN,(SBAR*,_,_,_,_,_,MC_not_SC
cardboard,394_1,19,I,I,PRP,(S(NP*),_,_,_,_,_,MC_not_SC
cardboard,394_1,20,hope,hope,VBP,(VP*,_,_,_,_,_,MC_not_SC
cardboard,394_1,21,for,for,IN,(PP*,_,_,_,_,_,MC_not_SC
cardboard,394_1,22,God,God,NNP,(NP(NP*,_,_,_,_,_,MC_not_SC
cardboard,394_1,23,'s,'s,POS,*),_,_,_,_,_,MC_not_SC
cardboard,394_1,24,mercy,mercy,NN,*))))))))),_,_,_,_,_,MC_not_SC
cardboard,394_1,25,.,.,.,*),_,_,_,_,_,MC_not_SC
wisteria02,48_1,0,Telegraphic,Telegraphic,JJ,(S(NP*,_,_,_,_,_,Sub_CL_only
wisteria02,48_1,1,inquiries,inquiry,NNS,*),_,_,_,_,_,Sub_CL_only
wisteria02,48_1,2,had,have,VBD,(VP*,_,_,_,_,_,Sub_CL_only
wisteria02,48_1,3,been,be,VBN,(VP*,_,_,_,_,_,Sub_CL_only
wisteria02,48_1,4,already,already,RB,(VP(ADVP*),_,_,_,_,_,Sub_CL_only
wisteria02,48_1,5,made,make,VBN,*,_,_,_,_,_,Sub_CL_only
wisteria02,48_1,6,which,which,WDT,(SBAR(WHNP*),_,_,_,which,FP,Sub_CL_only
wisteria02,48_1,7,showed,show,VBD,(S(VP*,_,_,_,showed,FP,Sub_CL_only
wisteria02,48_1,8,that,that,IN,(SBAR*,_,_,_,that,FP,Sub_CL_only
wisteria02,48_1,9,Marx,Marx,NNP,(S(NP*),_,Marx,_,Marx,_,Sub_CL_only
wisteria02,48_1,10,knew,know,VBD,(VP*,_,knew,knew,knew,_,Sub_CL_only
wisteria02,48_1,11,nothing,nothing,NN,(NP(NP*),nothing,_,_,_,_,Sub_CL_only
wisteria02,48_1,12,of,of,IN,(PP*,_,of,_,of,_,Sub_CL_only
wisteria02,48_1,13,his,his,PRP$,(NP*,_,his,_,his,_,Sub_CL_only
wisteria02,48_1,14,customer,customer,NN,*))),_,customer,_,customer,_,Sub_CL_only
wisteria02,48_1,15,save,save,IN,(SBAR*,_,save,_,save,_,Sub_CL_only
wisteria02,48_1,16,that,that,IN,*,_,that,_,that,_,Sub_CL_only
wisteria02,48_1,17,he,he,PRP,(S(NP*),_,he,_,he,_,Sub_CL_only
wisteria02,48_1,18,was,be,VBD,(VP*,_,was,_,was,_,Sub_CL_only
wisteria02,48_1,19,a,a,DT,(NP*,_,a,_,a,_,Sub_CL_only
wisteria02,48_1,20,good,good,JJ,*,_,good,_,good,_,Sub_CL_only
wisteria02,48_1,21,payer,payer,NN,*))))))))))))),_,payer,_,payer,_,Sub_CL_only
wisteria02,48_1,22,.,.,.,*),_,_,_,_,_,Sub_CL_only
wisteria01,250_1,0,``,``,``,(S*,_,_,_,_,_,PP_OOS
wisteria01,250_1,1,On,On,IN,(PP*,_,_,_,On,FP,PP_OOS
wisteria01,250_1,2,the,the,DT,(NP(NP*,_,_,_,the,FP,PP_OOS
wisteria01,250_1,3,face,face,NN,*),_,_,_,face,FP,PP_OOS
wisteria01,250_1,4,of,of,IN,(PP*,_,_,_,of,FP,PP_OOS
wisteria01,250_1,5,it,it,PRP,(NP*)))),_,_,_,it,FP,PP_OOS
wisteria01,250_1,6,the,the,DT,(NP*,_,the,_,the,_,PP_OOS
wisteria01,250_1,7,case,case,NN,*),_,case,_,case,_,PP_OOS
wisteria01,250_1,8,is,be,VBZ,(VP*,_,is,_,is,_,PP_OOS
wisteria01,250_1,9,not,not,RB,*,not,_,_,_,_,PP_OOS
wisteria01,250_1,10,a,a,DT,(NP*,_,a,_,a,_,PP_OOS
wisteria01,250_1,11,very,very,RB,(ADJP*,_,very,_,very,_,PP_OOS
wisteria01,250_1,12,complex,complex,JJ,*),_,complex,complex,complex,_,PP_OOS
wisteria01,250_1,13,one,one,NN,*),_,one,_,one,_,PP_OOS
wisteria01,250_1,14,",",",",",",*,_,_,_,_,_,PP_OOS
wisteria01,250_1,15,though,though,IN,(SBAR*,_,_,_,_,_,PP_OOS
wisteria01,250_1,16,it,it,PRP,(S(NP*),_,_,_,_,_,PP_OOS
wisteria01,250_1,17,certainly,certainly,RB,(ADVP*),_,_,_,_,_,PP_OOS
wisteria01,250_1,18,presents,present,VBZ,(VP*,_,_,_,_,_,PP_OOS
wisteria01,250_1,19,some,some,DT,(NP*,_,_,_,_,_,PP_OOS
wisteria01,250_1,20,novel,novel,JJ,(ADJP*,_,_,_,_,_,PP_OOS
wisteria01,250_1,21,and,and,CC,*,_,_,_,_,_,PP_OOS
wisteria01,250_1,22,interesting,interesting,JJ,*),_,_,_,_,_,PP_OOS
wisteria01,250_1,23,features,feature,NNS,*))))),_,_,_,_,_,PP_OOS
wisteria01,250_1,24,.,.,.,*),_,_,_,_,_,PP_OOS
wisteria02,46_1,0,Apparently,Apparently,RB,(S(ADVP*),_,_,_,Apparently,FP,Adv_OOS
wisteria02,46_1,1,the,the,DT,(NP*,_,the,_,the,_,Adv_OOS
wisteria02,46_1,2,tenants,tenant,NNS,*),_,tenants,_,tenants,_,Adv_OOS
wisteria02,46_1,3,had,have,VBD,(VP*,_,had,_,had,_,Adv_OOS
wisteria02,46_1,4,brought,bring,VBN,(VP*,_,brought,_,brought,_,Adv_OOS
wisteria02,46_1,5,little,little,RB,(NP(NP(NP*),_,_,_,little,FP,Adv_OOS
wisteria02,46_1,6,or,or,CC,*,_,_,_,or,FP,Adv_OOS
wisteria02,46_1,7,nothing,nothing,NN,(NP(NP*),nothing,_,_,nothing,FP,Adv_OOS
wisteria02,46_1,8,with,with,IN,(PP*,_,with,_,with,_,Adv_OOS
wisteria02,46_1,9,them,them,PRP,(NP*)))),_,them,_,them,_,Adv_OOS
wisteria02,46_1,10,",",",",",",*,_,_,_,_,_,Adv_OOS
wisteria02,46_1,11,and,and,CC,*,_,_,_,_,_,Adv_OOS
wisteria02,46_1,12,all,all,PDT,(NP*,_,_,_,_,_,Adv_OOS
wisteria02,46_1,13,the,the,DT,*,_,_,_,_,_,Adv_OOS
wisteria02,46_1,14,furniture,furniture,NN,*)),_,_,_,_,_,Adv_OOS
wisteria02,46_1,15,down,down,RB,(ADVP*),_,_,_,_,_,Adv_OOS
wisteria02,46_1,16,to,to,TO,(PP*,_,_,_,_,_,Adv_OOS
wisteria02,46_1,17,the,the,DT,(NP(NP*,_,_,_,_,_,Adv_OOS
wisteria02,46_1,18,smallest,small,JJS,*,_,_,_,_,_,Adv_OOS
wisteria02,46_1,19,details,detail,NNS,*),_,_,_,_,_,Adv_OOS
wisteria02,46_1,20,had,have,VBD,(SBAR(S(VP*,_,_,_,_,_,Adv_OOS
wisteria02,46_1,21,been,be,VBN,(VP*,_,_,_,_,_,Adv_OOS
wisteria02,46_1,22,taken,take,VBN,(VP*,_,_,_,_,_,Adv_OOS
wisteria02,46_1,23,over,over,RP,(PRT*),_,_,_,_,_,Adv_OOS
wisteria02,46_1,24,with,with,IN,(PP*,_,_,_,_,_,Adv_OOS
wisteria02,46_1,25,the,the,DT,(NP*,_,_,_,_,_,Adv_OOS
wisteria02,46_1,26,house,house,NN,*))))))))))),_,_,_,_,_,Adv_OOS
wisteria02,46_1,27,.,.,.,*),_,_,_,_,_,Adv_OOS
wisteria02,121_1,0,He,He,PRP,(S(S(NP*),_,_,_,_,_,Sub_CL_only
wisteria02,121_1,1,said,say,VBD,(VP*,_,_,_,_,_,Sub_CL_only
wisteria02,121_1,2,little,little,JJ,(ADJP*,_,_,_,_,_,Sub_CL_only
wisteria02,121_1,3,about,about,IN,(PP*,_,_,_,_,_,Sub_CL_only
wisteria02,121_1,4,the,the,DT,(NP*,_,_,_,_,_,Sub_CL_only
wisteria02,121_1,5,case,case,NN,*))))),_,_,_,_,_,Sub_CL_only
wisteria02,121_1,6,",",",",",",*,_,_,_,_,_,Sub_CL_only
wisteria02,121_1,7,but,but,CC,*,_,_,_,_,_,Sub_CL_only
wisteria02,121_1,8,from,from,IN,(S(PP*,_,_,_,_,_,Sub_CL_only
wisteria02,121_1,9,that,that,DT,(NP*,_,_,_,_,_,Sub_CL_only
wisteria02,121_1,10,little,little,JJ,*)),_,_,_,little,FP,Sub_CL_only
wisteria02,121_1,11,we,we,PRP,(NP*),_,_,_,we,FP,Sub_CL_only
wisteria02,121_1,12,gathered,gather,VBD,(VP*,_,_,_,gathered,FP,Sub_CL_only
wisteria02,121_1,13,that,that,IN,(SBAR*,_,_,_,that,FP,Sub_CL_only
wisteria02,121_1,14,he,he,PRP,(S(NP*),_,he,_,he,_,Sub_CL_only
wisteria02,121_1,15,also,also,RB,(ADVP*),_,also,_,also,_,Sub_CL_only
wisteria02,121_1,16,was,be,VBD,(VP*,_,was,_,was,_,Sub_CL_only
wisteria02,121_1,17,not,not,RB,*,not,_,_,_,_,Sub_CL_only
wisteria02,121_1,18,dissatisfied,dissatisfy,VBN,(VP*,_,dissatisfied,dissatisfied,dissatisfied,_,Sub_CL_only
wisteria02,121_1,19,at,at,IN,(PP*,_,at,_,at,_,Sub_CL_only
wisteria02,121_1,20,the,the,DT,(NP(NP*,_,the,_,the,_,Sub_CL_only
wisteria02,121_1,21,course,course,NN,*),_,course,_,course,_,Sub_CL_only
wisteria02,121_1,22,of,of,IN,(PP*,_,of,_,of,_,Sub_CL_only
wisteria02,121_1,23,events,event,NNS,(NP*)))))))))),_,events,_,events,_,Sub_CL_only
wisteria02,121_1,24,.,.,.,*),_,_,_,_,_,Sub_CL_only
cardboard,423_1,0,For,For,IN,(S(PP*,_,_,_,_,_,MC_and_SC
cardboard,423_1,1,a,a,DT,(NP*,_,_,_,_,_,MC_and_SC
cardboard,423_1,2,month,month,NN,*)),_,_,_,_,_,MC_and_SC
cardboard,423_1,3,he,he,PRP,(NP*),_,_,_,_,_,MC_and_SC
cardboard,423_1,4,was,be,VBD,(VP*,_,_,_,_,_,MC_and_SC
cardboard,423_1,5,in,in,IN,(ADVP*,_,_,_,_,_,MC_and_SC
cardboard,423_1,6,and,and,CC,*,_,_,_,_,_,MC_and_SC
cardboard,423_1,7,out,out,IN,*,_,_,_,out,FP,MC_and_SC
cardboard,423_1,8,of,of,IN,(PP*,_,_,_,of,FP,MC_and_SC
cardboard,423_1,9,my,my,PRP$,(NP*,_,_,_,my,FP,MC_and_SC
cardboard,423_1,10,house,house,NN,*))),_,_,_,house,FP,MC_and_SC
cardboard,423_1,11,",",",",",",*,_,_,_,_,_,MC_and_SC
cardboard,423_1,12,and,and,CC,(SBAR(SINV*,_,_,_,_,_,MC_and_SC
cardboard,423_1,13,never,never,RB,(ADVP*,never,_,_,_,_,MC_and_SC
cardboard,423_1,14,once,once,RB,*),_,once,_,once,_,MC_and_SC
cardboard,423_1,15,did,do,VBD,*,_,did,_,did,_,MC_and_SC
cardboard,423_1,16,it,it,PRP,(NP*),_,it,_,it,_,MC_and_SC
cardboard,423_1,17,cross,cross,VB,(VP*,_,cross,cross,cross,_,MC_and_SC
cardboard,423_1,18,my,my,PRP$,(NP*,_,my,_,my,_,MC_and_SC
cardboard,423_1,19,mind,mind,NN,*,_,mind,_,mind,_,MC_and_SC
cardboard,423_1,20,that,that,IN,(SBAR*,_,that,_,_,FN,MC_and_SC
cardboard,423_1,21,harm,harm,NN,(S(NP*),_,harm,_,_,FN,MC_and_SC
cardboard,423_1,22,might,might,MD,(VP*,_,might,_,_,FN,MC_and_SC
cardboard,423_1,23,come,come,VB,(VP*,_,come,_,_,FN,MC_and_SC
cardboard,423_1,24,of,of,IN,(PP*,_,of,_,_,FN,MC_and_SC
cardboard,423_1,25,his,his,PRP$,(NP*,_,his,_,_,FN,MC_and_SC
cardboard,423_1,26,soft,soft,JJ,*,_,soft,_,_,FN,MC_and_SC
cardboard,423_1,27,",",",",",",*,_,",",_,_,FN,MC_and_SC
cardboard,423_1,28,tricky,tricky,JJ,*,_,tricky,_,_,FN,MC_and_SC
cardboard,423_1,29,ways,way,NNS,*))))))))))),_,ways,_,_,FN,MC_and_SC
cardboard,423_1,30,.,.,.,*),_,_,_,_,_,MC_and_SC
wisteria02,30_1,0,It,It,PRP,(S(NP*),_,_,_,_,_,Repeat_OOS
wisteria02,30_1,1,was,be,VBD,(VP(VP*,_,_,_,_,_,Repeat_OOS
wisteria02,30_1,2,n't,n't,RB,*,_,_,_,_,_,Repeat_OOS
wisteria02,30_1,3,black,black,JJ,(NP(NP*),_,_,_,_,_,Repeat_OOS
wisteria02,30_1,4,",",",",",",*,_,_,_,_,_,Repeat_OOS
wisteria02,30_1,5,sir,sir,NNP,(NP*),_,_,_,_,_,Repeat_OOS
wisteria02,30_1,6,",",",",",",*)),_,_,_,_,_,Repeat_OOS
wisteria02,30_1,7,nor,nor,CC,*,nor,_,_,_,_,Repeat_OOS
wisteria02,30_1,8,was,be,VBD,(VP*,_,was,_,was,_,Repeat_OOS
wisteria02,30_1,9,it,it,PRP,(S(NP*),_,it,_,it,_,Repeat_OOS
wisteria02,30_1,10,white,white,JJ,(ADJP(ADJP*),_,white,white,white,_,Repeat_OOS
