sentence_number	token	bert_prediction	logreg_prediction	gold_label	capability	checked_arg	invariance
4	postcard	ARG1	O	ARG1	Robustness: spelling errors in the predicate + ARG1	ARG1	no
5	documents	ARG1	O	ARG1	Robustness: spelling errors in the predicate + ARG1	ARG1	no
6	ball	ARG1	O	ARG1	Robustness: spelling errors in the predicate + ARG1	ARG1	no
7	keys	ARG1	O	ARG1	Robustness: spelling errors in the predicate + ARG1	ARG1	no
8	glass	ARG1	O	ARG1	Robustness: spelling errors in the predicate + ARG1	ARG1	no
9	report	ARG1	O	ARG1	Robustness: spelling errors in the predicate + ARG1	ARG1	no
10	contract	ARG1	O	ARG1	Robustness: spelling errors in the predicate + ARG1	ARG1	no
11	book	ARG1	ARG1	ARG1	Robustness: spelling errors in the predicate + ARG1	ARG1	no
12	photo	ARG1	O	ARG1	Robustness: spelling errors in the predicate + ARG1	ARG1	no
13	postcard	ARG1	ARG1	ARG1	Robustness: spelling errors in the predicate + ARG1	ARG1	no
14	documents	ARG1	O	ARG1	Robustness: spelling errors in the predicate + ARG1	ARG1	no
15	keys	ARG1	O	ARG1	Robustness: spelling errors in the predicate + ARG1	ARG1	no
16	glass	ARG1	O	ARG1	Robustness: spelling errors in the predicate + ARG1	ARG1	no
17	report	ARG1	O	ARG1	Robustness: spelling errors in the predicate + ARG1	ARG1	no
18	contract	ARG1	O	ARG1	Robustness: spelling errors in the predicate + ARG1	ARG1	no
19	butter	ARG1	O	ARG1	Robustness: spelling errors in the predicate + ARG1	ARG1	no
20	window	ARG1	O	ARG1	Robustness: spelling errors in the predicate + ARG1	ARG1	no
21	system	ARG1	O	ARG1	Robustness: spelling errors in the predicate + ARG1	ARG1	no
22	product	ARG1	O	ARG1	Robustness: spelling errors in the predicate + ARG1	ARG1	no
23	window	ARG1	O	ARG1	Robustness: spelling errors in the predicate + ARG1	ARG1	no
24	system	ARG1	O	ARG1	Robustness: spelling errors in the predicate + ARG1	ARG1	no
25	cities	ARGM-DIR	O	ARG1	Robustness: spelling errors in the predicate + ARG1	ARG1	no
26	I	ARG0	O	ARG1	Robustness: spelling errors in the predicate + ARG1	ARG1	no
27	She	ARG1	O	ARG1	Robustness: spelling errors in the predicate + ARG1	ARG1	no
28	He	ARG1	O	ARG1	Robustness: spelling errors in the predicate + ARG1	ARG1	no
29	son	ARG1	O	ARG1	Robustness: spelling errors in the predicate + ARG1	ARG1	no
